Artist Name,Date,Theme,Stage,Subscribers Count
DIDI B,"Friday, June 21st",International,BOUREGREG,775000
Angham,"Friday, June 21st",Oriental,NAHDA SPACE,825000
Latifa Raâfat,"Friday, June 21st",Moroccan,SALE BEACH,Not Found
MOCCI,"Friday, June 21st",Moroccan,SALE BEACH,1140000
Kylie Minogue,"Friday, June 21st",International,OLM SOUISSI,1380000
BADR RAMI,"Saturday, June 22nd",(Français) Tarab,MOHAMMED V NATIONAL THEATER,13000
La Fève,"Saturday, June 22nd",International,BOUREGREG,113000
METRO BOOMIN,"Saturday, June 22nd",International,OLM SOUISSI,2980000
AHMED SAAD,"Saturday, June 22nd",Oriental,NAHDA SPACE,4860000
Dabeull,"Saturday, June 22nd",International,OLM SOUISSI,160000
Zina Daoudia,"Saturday, June 22nd",Moroccan,SALE BEACH,3730000
Laila Chakir,"Saturday, June 22nd",Moroccan,SALE BEACH,95100
Hologramme Oum Kalthoum,"Sunday, June 23rd",(Français) Tarab,MOHAMMED V NATIONAL THEATER,Not Found
LUIDJI,"Sunday, June 23rd",International,BOUREGREG,247000
Yamê,"Sunday, June 23rd",International,BOUREGREG,444000
ATEEZ,"Sunday, June 23rd",International,OLM SOUISSI,4030000
ALAWN,"Sunday, June 23rd",International,OLM SOUISSI,931
BALQEES,"Sunday, June 23rd",Oriental,NAHDA SPACE,2180000
MUSLIM,"Sunday, June 23rd",Moroccan,SALE BEACH,3010000
Ihsane Regragui,"Sunday, June 23rd",Moroccan,SALE BEACH,11000
YURI BUENAVENTURA,"Monday, June 24th",World music,MOHAMMED V NATIONAL THEATER,13300
Omah Lay,"Monday, June 24th",International,BOUREGREG,2100000
SCH,"Monday, June 24th",International,OLM SOUISSI,2970000
GAZO & TIAKOLA,"Monday, June 24th",International,OLM SOUISSI,1620000
HAIFA WEHBE,"Monday, June 24th",Oriental,NAHDA SPACE,1500000
Said Mosker,"Monday, June 24th",Moroccan,SALE BEACH,130000
Hamid Kassri,"Monday, June 24th",Moroccan,SALE BEACH,167000
ABEER NEHME,"Tuesday, June 25th",Oriental,MOHAMMED V NATIONAL THEATER,511000
CAMILA CABELLO,"Tuesday, June 25th",International,OLM SOUISSI,16600000
Nicki Nicole,"Tuesday, June 25th",International,OLM SOUISSI,5250000
Fatoumata Diawara,"Tuesday, June 25th",International,BOUREGREG,158000
Hologramme Oum Kalthoum,"Tuesday, June 25th",(Français) Tarab,MOHAMMED V NATIONAL THEATER,Not Found
JANNAT,"Tuesday, June 25th",Oriental,NAHDA SPACE,Not Found
NAWAL ZOGHBI,"Tuesday, June 25th",Oriental,NAHDA SPACE,309000
Ikram El Abdia,"Tuesday, June 25th",Moroccan,SALE BEACH,259000
Abdou El Ouazzani,"Tuesday, June 25th",Moroccan,SALE BEACH,43200
MARWAN KHOURY,"Wednesday, June 26th",Oriental,MOHAMMED V NATIONAL THEATER,1180000
BALTI,"Wednesday, June 26th",World music,NAHDA SPACE,7050000
Ibtissam Tiskat,"Wednesday, June 26th",Moroccan,SALE BEACH,637000
NAJAT AATABOU,"Wednesday, June 26th",Moroccan,SALE BEACH,31800
Ayra Starr,"Wednesday, June 26th",International,BOUREGREG,2200000
BURNA BOY,"Wednesday, June 26th",International,OLM SOUISSI,4980000
GREGORY PORTER,"Thursday, June 27th",World music,MOHAMMED V NATIONAL THEATER,282000
TOO FAN,"Thursday, June 27th",Rhythms of the World,BOUREGREG,1130000
CENTRAL CEE,"Thursday, June 27th",International,OLM SOUISSI,4660000
IAMDDB,"Thursday, June 27th",International,OLM SOUISSI,376000
Najwa Karam,"Thursday, June 27th",Oriental,NAHDA SPACE,765000
Douzi,"Thursday, June 27th",Moroccan,NAHDA SPACE,2998000
Mouss Maher,"Thursday, June 27th",Moroccan,SALE BEACH,196000
KHADIJA ATLAS,"Thursday, June 27th",Moroccan,SALE BEACH,16400
SAMIRA SAID,"Friday, June 28th",Oriental,MOHAMMED V NATIONAL THEATER,784000
James BKS,"Friday, June 28th",International,BOUREGREG,11600
Nana Benz Du Togo,"Friday, June 28th",International,BOUREGREG,265
RAMY AYACH,"Friday, June 28th",Oriental,NAHDA SPACE,500000
Nicki Minaj,"Friday, June 28th",International,OLM SOUISSI,27119000
Stati Abdelaziz,"Friday, June 28th",Moroccan,SALE BEACH,Not Found
FATIMA TABAAMRANT,"Friday, June 28th",Moroccan,SALE BEACH,238000
CALVIN HARRIS,"Saturday, June 29th",International,OLM SOUISSI,19300000
MK,"Saturday, June 29th",International,OLM SOUISSI,Not Found
ADAM,"Saturday, June 29th",Oriental,MOHAMMED V NATIONAL THEATER,Not Found
ANGELIQUE KIDJO,"Saturday, June 29th",World music,BOUREGREG,201000
MOHAMED RAMADAN,"Saturday, June 29th",Oriental,NAHDA SPACE,15700000
Aminux,"Saturday, June 29th",Moroccan,NAHDA SPACE,1110000
Said Senhaji,"Saturday, June 29th",Moroccan,SALE BEACH,321000
Saida Charaf,"Saturday, June 29th",Moroccan,SALE BEACH,266000
